feature,x2_str,y_str
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8'],=
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 ='],5
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5'],3
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3'],3
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3 3'],/
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3 3 /'],8
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3 3 / 8'],1
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3 3 / 8 1'],9
"[[[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 ...

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]

 [[237 253 238]
  [237 253 238]
  [237 253 238]
  ...
  [237 253 238]
  [237 253 238]
  [237 253 238]]]",['s 6 9 5 / 9 5 8 + 3 5 4 / 3 5 8 = 5 3 3 / 8 1 9'],e
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s'],5
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5'],9
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9'],3
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3'],/
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 /'],7
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7'],3
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3'],9
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9'],+
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 +'],1
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1'],3
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3'],0
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0'],/
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 /'],4
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4'],1
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1'],5
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5'],=
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 ='],7
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7'],2
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2'],4
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2 4'],/
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2 4 /'],1
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2 4 / 1'],5
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2 4 / 1 5'],1
"[[[244 247 231]
  [242 246 240]
  [235 243 240]
  ...
  [234 253 238]
  [235 247 236]
  [240 246 242]]

 [[239 248 251]
  [235 243 237]
  [234 248 237]
  ...
  [237 251 229]
  [240 247 235]
  [231 252 238]]

 [[237 243 243]
  [232 242 239]
  [240 245 236]
  ...
  [235 242 230]
  [242 248 228]
  [245 250 239]]

 ...

 [[234 243 229]
  [236 249 239]
  [235 245 236]
  ...
  [243 248 241]
  [231 241 236]
  [235 242 241]]

 [[240 249 238]
  [231 244 245]
  [234 249 237]
  ...
  [235 243 234]
  [234 241 236]
  [239 251 236]]

 [[246 238 236]
  [242 251 236]
  [234 251 234]
  ...
  [232 240 246]
  [242 243 239]
  [241 245 236]]]",['s 5 9 3 / 7 3 9 + 1 3 0 / 4 1 5 = 7 2 4 / 1 5 1'],e
"[[[238 240 237]
  [245 241 242]
  [238 245 236]
  ...
  [237 242 242]
  [244 241 242]
  [242 236 246]]

 [[241 244 240]
  [245 242 236]
  [242 230 242]
  ...
  [246 241 243]
  [237 247 239]
  [243 238 247]]

 [[237 246 238]
  [244 239 237]
  [243 237 246]
  ...
  [244 242 242]
  [243 244 242]
  [247 238 244]]

 ...

 [[240 241 241]
  [248 240 245]
  [242 242 243]
  ...
  [243 234 239]
  [246 240 240]
  [246 240 237]]

 [[242 240 246]
  [243 241 245]
  [246 240 243]
  ...
  [248 240 242]
  [242 242 243]
  [244 239 239]]

 [[247 240 240]
  [242 243 239]
  [244 234 239]
  ...
  [243 236 243]
  [244 236 239]
  [252 239 243]]]",['s'],8
"[[[238 240 237]
  [245 241 242]
  [238 245 236]
  ...
  [237 242 242]
  [244 241 242]
  [242 236 246]]

 [[241 244 240]
  [245 242 236]
  [242 230 242]
  ...
  [246 241 243]
  [237 247 239]
  [243 238 247]]

 [[237 246 238]
  [244 239 237]
  [243 237 246]
  ...
  [244 242 242]
  [243 244 242]
  [247 238 244]]

 ...

 [[240 241 241]
  [248 240 245]
  [242 242 243]
  ...
  [243 234 239]
  [246 240 240]
  [246 240 237]]

 [[242 240 246]
  [243 241 245]
  [246 240 243]
  ...
  [248 240 242]
  [242 242 243]
  [244 239 239]]

 [[247 240 240]
  [242 243 239]
  [244 234 239]
  ...
  [243 236 243]
  [244 236 239]
  [252 239 243]]]",['s 8'],8
